file,q,freq,tramcnt,delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
input-data-passengers-06,300,120,12,440225,665650,4014,0,12,668.427260369453
input-data-passengers-06,150,120,13,450390,584713,4264,0,13,600.019750144379
input-data-passengers-06,180,120,13,453878,608898,4214,0,13,727.590430511444
input-data-passengers-06,210,120,13,447001,624389,4256,0,13,659.860397854401
input-data-passengers-06,240,120,13,453901,647407,4284,0,13,720.695318228508
input-data-passengers-06,270,120,13,455067,668648,4188,0,13,723.615355979379
input-data-passengers-06,300,120,13,444648,678714,4283,0,13,734.762322008325
input-data-passengers-06,150,120,14,267900,411171,4677,0,14,788.963591698574
input-data-passengers-06,180,120,14,271675,435021,4567,0,14,702.652694715953
input-data-passengers-06,210,120,14,264829,450600,4551,0,14,742.613591413258
input-data-passengers-06,240,120,14,261111,469069,4536,0,14,614.895969103973
input-data-passengers-06,270,120,14,269050,497438,4510,0,14,672.23434525318
input-data-passengers-06,300,120,14,252940,503951,4558,0,14,690.045145938955
input-data-passengers-06,150,120,15,242130,347388,4656,0,15,531.177992672897
input-data-passengers-06,180,120,15,239192,365881,4573,0,15,502.572918982981
input-data-passengers-06,210,120,15,233212,381636,4633,0,15,515.506381323551
input-data-passengers-06,240,120,15,254803,424839,4661,0,15,569.440187430964
input-data-passengers-06,270,120,15,233194,424933,4590,0,15,528.246131409096
input-data-passengers-06,300,120,15,233965,447831,4670,0,15,515.661224798978
input-data-passengers-06,150,120,16,265519,338817,4660,0,16,573.368189288673
input-data-passengers-06,180,120,16,265345,360202,4502,0,16,496.638463250695
input-data-passengers-06,210,120,16,265306,381681,4648,0,16,483.575309098562
input-data-passengers-06,240,120,16,265492,403730,4634,0,16,515.943619019974
input-data-passengers-06,270,120,16,265392,425268,4722,0,16,590.828991823786
input-data-passengers-06,300,120,16,265559,446982,4656,0,16,531.728165283436
input-data-passengers-06,150,120,17,265530,332554,4637,0,17,503.32390748576
input-data-passengers-06,180,120,17,265307,354340,4702,0,17,484.937381147458
input-data-passengers-06,210,120,17,265081,376252,4674,0,17,531.51822373932
input-data-passengers-06,240,120,17,265425,398169,4809,0,17,503.920895452798
input-data-passengers-06,270,120,17,265535,420058,4695,0,17,524.042382789926
input-data-passengers-06,300,120,17,265338,441777,4568,0,17,507.415139444091
input-data-passengers-06,150,120,18,265231,332530,4679,0,18,504.890017607298
input-data-passengers-06,180,120,18,265552,354430,4686,0,18,525.387670346013
input-data-passengers-06,210,120,18,265412,376292,4687,0,18,512.742711258711
input-data-passengers-06,240,120,18,265522,398171,4744,0,18,518.535811621873
input-data-passengers-06,270,120,18,265416,419960,4482,0,18,517.537133411853
input-data-passengers-06,300,120,18,265522,441842,4712,0,18,516.323904125916
input-data-passengers-06,150,120,19,265427,332560,4713,0,19,488.669405977949
input-data-passengers-06,180,120,19,265398,354365,4524,0,19,483.189741414608
input-data-passengers-06,210,120,19,265471,376297,4574,0,19,498.702317179393
input-data-passengers-06,240,120,19,265236,398144,4625,0,19,489.330646869212
input-data-passengers-06,270,120,19,265175,419992,4599,0,19,501.527170019274
input-data-passengers-06,300,120,19,265639,441925,4624,0,19,506.784888560197
input-data-passengers-06,150,120,20,265275,332532,4659,0,20,490.066773724874
input-data-passengers-06,180,120,20,265262,354401,4684,0,20,491.625845957729
input-data-passengers-06,210,120,20,265248,376276,4620,0,20,501.926828223655
input-data-passengers-06,240,120,20,265508,398165,4566,0,20,474.870963651826
input-data-passengers-06,270,120,20,265400,419907,4693,0,20,522.033714417078
input-data-passengers-06,300,120,20,265153,441861,4627,0,20,512.483289251737
input-data-passengers-06,150,150,1,47617,325051,1922,0,1,1868.35601019088
input-data-passengers-06,180,150,1,47617,334562,2025,0,1,2023.65810166834
input-data-passengers-06,210,150,1,47617,344065,1946,0,1,2524.18321449548
input-data-passengers-06,240,150,1,47617,353579,1904,0,1,1343.85933170866
input-data-passengers-06,270,150,1,47617,363097,1937,0,1,1684.5440100044
input-data-passengers-06,300,150,1,47617,372598,1912,0,1,1654.35706624133
input-data-passengers-06,150,150,2,91291,322073,1930,0,2,1860.07712894458
input-data-passengers-06,180,150,2,91291,331401,1998,0,2,1588.81775364557
input-data-passengers-06,210,150,2,91291,340740,1981,0,2,1838.52801738461
input-data-passengers-06,240,150,2,91291,350073,1978,0,2,1860.81607345658
input-data-passengers-06,270,150,2,91291,359432,1998,0,2,2070.6490642549
input-data-passengers-06,300,150,2,91291,368785,1964,0,2,1235.44033400752
input-data-passengers-06,150,150,3,123737,352148,2216,0,3,1688.47813209064
input-data-passengers-06,180,150,3,123737,362597,2207,0,3,1386.15943661609
input-data-passengers-06,210,150,3,123737,373024,2162,0,3,1757.01938470609
input-data-passengers-06,240,150,3,123737,383483,2285,0,3,1939.2403080445
